iter	Logloss
0	0.5159123255
1	0.3869080553
2	0.3042089617
3	0.2439664941
4	0.202110365
5	0.1725877555
6	0.1517381539
7	0.1360211865
8	0.1238131969
9	0.1150116132
10	0.1083396961
11	0.1033079461
12	0.09954940415
13	0.09627604942
14	0.09388083199
15	0.09215336651
16	0.09078843936
17	0.08942063594
18	0.088306514
19	0.08725721304
20	0.08642979773
21	0.08562643053
22	0.0848411813
23	0.08440272722
24	0.08379256433
25	0.0833073489
26	0.08290855257
27	0.08261418388
28	0.08227230022
29	0.08188547
30	0.08152762146
31	0.08133784972
32	0.08102728097
33	0.08076069234
34	0.08038854514
35	0.08012821977
36	0.07991740428
37	0.07971383323
38	0.07950537294
39	0.07928428238
40	0.07898706793
41	0.0788459241
42	0.07859382007
43	0.07832631043
44	0.07816464156
45	0.07801115623
46	0.07774887799
47	0.07748164944
48	0.07723957063
49	0.07703984452
50	0.07673804976
51	0.0765733606
52	0.07639179682
53	0.0761900214
54	0.07601144832
55	0.07578433677
56	0.07559638612
57	0.07541054987
58	0.07525398475
59	0.07508580339
60	0.07490114023
61	0.07470092488
62	0.07447132873
63	0.07430221456
64	0.07414925785
65	0.07397768708
66	0.07377830095
67	0.07363186665
68	0.07352362591
69	0.07338174505
70	0.07322249722
71	0.07302204219
72	0.07287100714
73	0.07276205111
74	0.07261827386
75	0.07246748018
76	0.07231427802
77	0.07218361241
78	0.07202213261
79	0.07191296219
80	0.07175033143
81	0.0715825546
82	0.07142612307
83	0.07130606173
84	0.07117524352
85	0.07107987134
86	0.07098546067
87	0.07084213086
88	0.07075452865
89	0.07060501392
90	0.07050892262
91	0.07034855509
92	0.07023972743
93	0.07011787103
94	0.07002992518
95	0.06990740044
96	0.06978743963
97	0.06970444754
98	0.06957880581
99	0.06947141107
100	0.06939738588
101	0.0692894893
102	0.06921674438
103	0.0690971809
104	0.06899760161
105	0.06888414932
106	0.06878922792
107	0.06865909385
108	0.0685189481
109	0.06839681372
110	0.06828054258
111	0.06818053575
112	0.06810530955
113	0.06796817364
114	0.06782786635
115	0.06771750916
116	0.06762128334
117	0.06754299207
118	0.06739667949
119	0.06729645365
120	0.06721333231
121	0.06714603198
122	0.06702132661
123	0.0669125819
124	0.06684911244
125	0.06675004626
126	0.06665499621
127	0.06658782434
128	0.06650889081
129	0.06638842522
130	0.06631523543
131	0.06622309206
132	0.06614542419
133	0.06606706109
134	0.06597164341
135	0.06587995788
136	0.06576494355
137	0.06570164042
138	0.06560416634
139	0.06549330153
140	0.06540490029
141	0.06535387779
142	0.06529381203
143	0.0651881483
144	0.06513408863
145	0.06503381439
146	0.06494925759
147	0.06484145803
148	0.06477178357
149	0.06470676128
150	0.06462525757
151	0.06454417939
152	0.06447087459
153	0.06436187063
154	0.06428984664
155	0.06420232087
156	0.06411772472
157	0.06406586815
158	0.06397224581
159	0.06388395106
160	0.06383049193
161	0.06372643196
162	0.06360815701
163	0.06355200307
164	0.06347796003
165	0.06339250468
166	0.06333183159
167	0.06324566017
168	0.06318309591
169	0.06311811266
170	0.06306033543
171	0.06298501993
172	0.06289248074
173	0.0628460897
174	0.0627905903
175	0.06271943904
176	0.06262491024
177	0.06258654849
178	0.06250100419
179	0.06239786923
180	0.06227889468
181	0.06221581991
182	0.06212782488
183	0.06206767908
184	0.062022397
185	0.06195702844
186	0.06189339976
187	0.06183625329
188	0.06177277678
189	0.06170481694
190	0.06164701915
191	0.06156945882
192	0.06149866609
193	0.06141709644
194	0.0613354716
195	0.06128811879
196	0.06122759047
197	0.06118552293
198	0.06111684476
199	0.06106325572
